Algorithmn,Polynomial_Train_r2score,Polynomial_Test_r2score,Polynomial_Diff(Train-Test),Power_Train_r2score,Power_Test_r2score,Power_Diff(Train-Test),CV_polynomial,cv_power
LinearRegression,39.10698054262897,42.51843015251448,-3.4114496098855196,79.75295770307982,79.984231217841,-0.23127351476117664,37.124323846345085,79.30913340598693
Ridge,39.10698049591226,42.51807228772974,-3.4110917918174777,79.75295767697737,79.98412637177081,-0.2311686947934377,37.12434538094531,79.30915019487361
Lasso,39.106980458355025,42.518003561474934,-3.4110231031199145,79.75295766158787,79.98424624088273,-0.2312885792948638,37.12434100973335,79.30913862147519
ElasticNet,29.59506019497329,29.71713888945078,-0.12207869447748987,67.38089780953918,66.44626476325574,0.9346330462834396,28.060225632216547,67.0127810707644
SVR,57.02635430228753,49.64873064571594,7.377623656571586,93.28880158006906,89.10312850701163,4.185673073057428,42.91713843742889,88.55770654921213
RandomForestRegressor,98.5679031831785,89.80378727201916,8.764115911159342,98.64755249266976,89.76924629669028,8.87830619597947,88.80060717404886,88.86049667346259
ExtraTreesRegressor,99.99353410673262,88.07699961475562,11.916534491976993,99.99353410673262,90.23922792964454,9.754306177088079,87.52756956997227,89.63556043796753
BaggingRegressor,57.59056896437384,50.39283563714474,7.197733327229095,93.16946042794864,89.50488392389617,3.6645765040524636,45.382715347974596,88.57682819337683
StackingRegressor,52.95761574870879,45.35595387155848,7.6016618771503115,93.73880317540339,87.82560592672938,5.913197248674007,35.17224894906691,86.22336679618795
SGD,38.771065481417864,42.93124028875545,-4.1601748073375795,79.54520434332831,80.0989631261478,-0.5537587828194801,37.06415169690789,79.20350858631036
