Algorithmn,Polynomial_Train_r2score,Polynomial_Test_r2score,Polynomial_Diff(Train-Test),Power_Train_r2score,Power_Test_r2score,Power_Diff(Train-Test),CV_polynomial,cv_power
LinearRegression,39.10698054262897,42.51843015251448,-3.4114496098855196,79.75295770307982,79.984231217841,-0.23127351476117664,37.124323846345085,79.30913340598693
Ridge,39.106520363475816,42.4824343127001,-3.375913949224285,79.7526994338631,79.97356687246022,-0.22086743859712765,37.125742335743944,79.3103768689613
Lasso,34.25176906451948,35.47499103178827,-1.223221967268795,77.1325836718051,77.03336384346962,0.09921982833547283,32.649054391053575,76.79984656005988
ElasticNet,29.59506019497329,29.71713888945078,-0.12207869447748987,67.38089780953918,66.44626476325574,0.9346330462834396,28.060225632216547,67.0127810707644
SVR,37.646721217700794,35.591911062790594,2.0548101549102027,79.15509779818368,74.29454103436827,4.860556763815405,33.07209397668272,74.28589115081327
RandomForestRegressor,98.64492736847309,89.90397258132965,8.74095478714344,98.6181097191902,89.49098047933941,9.127129239850795,88.92309604713316,88.58741330886122
ExtraTreesRegressor,99.99353410673262,87.94147495281163,12.052059153920991,99.99353410673262,89.8413279313766,10.152206175356026,87.66983193792545,89.82047792783708
BaggingRegressor,37.683904844788294,35.703757953462855,1.9801468913254405,78.96175085244525,73.92075890057637,5.0409919518688895,32.90677432522951,74.49579793917553
StackingRegressor,47.170330076793434,38.3862018345871,8.784128242206336,88.50289639648202,82.02271309877224,6.480183297709763,28.584849584426188,81.32885014749196
SGD,39.10055399326515,42.6317493667799,-3.5311953735147505,79.74569079990727,79.95848077243676,-0.2127899725294924,37.06940923112938,79.33345523436475
